=== Strategia 1: from/till rok-po-roku ===
rok 2020 m1 (from/till): 9 rez., 9 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m11 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m12 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2022 m1 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2022 m2 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2022 m3 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2022 m4 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m5 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m6 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m7 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m8 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m9 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m10 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m11 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2022 m12 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m1 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m2 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m3 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m4 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m5 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m6 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m7 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m8 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m9 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m10 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m11 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2023 m12 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m1 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m2 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m3 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m4 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m5 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m6 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m7 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m8 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m9 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m10 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m11 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2024 m12 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m1 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m2 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m3 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m4 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m5 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m6 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m7 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m8 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m9 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m10 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m11 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2025 m12 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2026 m1 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2026 m2 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2026 m3 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2026 m4 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2026 m5 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
rok 2026 m6 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:38:03
[PODSUMOWANIE] strony=78/200, nowe=0, zaktualizowane=9, pominięte=0
